"n","kappa0","C_gamma","error_rate","power"
500,2.9,0.1,0,0
500,3,0.1,0,0
500,0.1,0.5,1,1
500,0.2,0.5,1,1
500,0.3,0.5,1,1
500,0.4,0.5,1,1
500,0.5,0.5,1,1
500,0.6,0.5,1,1
500,0.7,0.5,1,1
500,0.8,0.5,0.996,1
500,0.9,0.5,0.453,1
500,1,0.5,0,1
500,1.1,0.5,0,1
500,1.2,0.5,0,1
500,1.3,0.5,0,1
500,1.4,0.5,0,1
500,1.5,0.5,0,1
500,1.6,0.5,0,1
500,1.7,0.5,0,1
500,1.8,0.5,0,0.978
500,1.9,0.5,0,0.749
500,2,0.5,0,0.256
500,2.1,0.5,0,0.027
500,2.2,0.5,0,0.001
500,2.3,0.5,0,0
500,2.4,0.5,0,0
500,2.5,0.5,0,0
500,2.6,0.5,0,0
500,2.7,0.5,0,0
500,2.8,0.5,0,0
500,2.9,0.5,0,0
500,3,0.5,0,0
